Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,Kookoos,39.33,20.33,40.0,56.33,104.33,229.25,139.33,26.09,15.85
Winter 17/18,Kookoos,11.0,11.43,12.43,18.43,70.71,788.43,87.0,111.12,11.89
Spring 2018,Kookoos,13.53,15.41,10.65,25.41,69.59,153.78,89.94,3.25,6.5
Summer 2018,Kookoos,21.67,23.0,26.0,42.33,112.33,961.38,132.33,14.49,11.67
Autumn 2018,Kookoos,30.43,36.86,25.71,42.43,228.57,899.0,247.86,56.32,13.75
Winter 18/19,Kookoos,28.33,32.33,19.17,18.17,67.0,416.71,63.5,6.42,4.04
Spring 2019,Kookoos,22.83,13.83,11.5,24.08,74.5,172.0,71.0,9.55,3.37
Summer 2019,Kookoos,47.62,34.12,36.25,65.75,338.62,603.0,349.38,44.59,19.84
Autumn 2019,Kookoos,28.7,20.9,18.3,23.2,114.2,1072.0,77.6,15.93,2.8
Winter 19/20,Kookoos,8.92,9.17,6.46,16.58,34.29,725.73,29.92,15.64,1.38
Summer 2022,Kookoos,15.62,11.23,9.85,111.31,538.08,667.92,141.62,36.05,8.25
Autumn 2022,Kookoos,19.1,10.4,15.5,92.7,879.3,176.91,107.4,9.26,7.0
Winter 22/23,Kookoos,12.27,11.4,11.0,55.53,527.47,340.38,86.07,18.86,5.08
Spring 2023,Kookoos,14.53,5.4,9.13,58.87,506.67,1264.67,48.67,24.81,3.93
Summer 2023,Kookoos,11.07,11.13,9.67,82.93,514.33,282.45,40.8,4.63,2.95
Autumn 2023,Kookoos,9.75,9.5,8.0,44.0,482.42,832.27,75.83,12.01,3.24
Winter 23/24,Kookoos,10.32,13.95,8.26,60.89,473.74,215.75,54.63,6.2,9.12
Spring 2024,Kookoos,11.56,9.81,5.88,114.19,589.06,292.67,90.62,20.56,8.58
Summer 2024,Kookoos,12.09,12.45,7.91,130.64,432.55,527.86,69.73,22.13,3.81
Autumn 2024,Kookoos,10.85,10.08,7.85,88.62,424.92,191.83,57.92,12.73,4.13
Winter 24/25,Kookoos,11.11,11.61,7.22,47.83,485.17,493.58,57.78,8.45,5.31
Spring 2025,Kookoos,10.78,5.44,9.06,72.39,519.67,635.33,50.22,26.84,5.22
